Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-06-19 13:00:00,1730.73000000,1733.77000000,1727.66000000,1728.19000000,6298.58180000,2023-06-19 13:59:59.999,10898819.18260500,13640,3000.09170000,5191131.58626100,0
2023-06-19 14:00:00,1728.20000000,1729.02000000,1716.01000000,1720.60000000,14694.84830000,2023-06-19 14:59:59.999,25286327.17800700,18618,7050.28490000,12129776.62938000,0
2023-06-19 15:00:00,1720.61000000,1722.14000000,1715.69000000,1721.45000000,7570.49210000,2023-06-19 15:59:59.999,13012975.66168900,13792,3031.65750000,5211886.11234200,0
2023-06-19 16:00:00,1721.45000000,1721.46000000,1698.00000000,1717.78000000,26092.80010000,2023-06-19 16:59:59.999,44637343.67413900,32626,11911.92430000,20377745.49993400,0
2023-06-19 17:00:00,1717.77000000,1734.00000000,1716.22000000,1729.78000000,17998.49000000,2023-06-19 17:59:59.999,31072656.89855800,23531,9044.31270000,15613162.34680900,0
2023-06-19 18:00:00,1729.79000000,1752.19000000,1711.22000000,1712.04000000,52492.38430000,2023-06-19 18:59:59.999,90922780.66193000,57070,25842.12630000,44767856.06647900,0
2023-06-19 19:00:00,1712.04000000,1727.33000000,1703.23000000,1724.24000000,21394.53240000,2023-06-19 19:59:59.999,36680876.56185300,27780,11017.87140000,18892986.49388400,0
2023-06-19 20:00:00,1724.25000000,1736.48000000,1722.79000000,1730.41000000,15227.49720000,2023-06-19 20:59:59.999,26343465.64475100,22148,7733.26150000,13377099.80861600,0
2023-06-19 21:00:00,1730.40000000,1732.44000000,1725.47000000,1732.30000000,4483.81020000,2023-06-19 21:59:59.999,7750910.44058400,9256,2230.22890000,3855875.88734900,0
2023-06-19 22:00:00,1732.32000000,1737.68000000,1730.59000000,1733.33000000,5528.86470000,2023-06-19 22:59:59.999,9588851.07753400,9111,3004.52670000,5210988.56992700,0
2023-06-19 23:00:00,1733.33000000,1737.99000000,1733.32000000,1737.11000000,4361.56700000,2023-06-19 23:59:59.999,7570846.52824500,7418,3024.53900000,5250060.47264900,0
2023-06-20 00:00:00,1737.10000000,1745.46000000,1734.68000000,1741.99000000,9332.28040000,2023-06-20 00:59:59.999,16230105.24481200,18693,5168.73070000,8988332.18270000,0
2023-06-20 01:00:00,1741.99000000,1749.79000000,1733.39000000,1734.31000000,13241.18480000,2023-06-20 01:59:59.999,23059456.25496900,21131,6420.19750000,11183032.68144500,0
2023-06-20 02:00:00,1734.31000000,1737.00000000,1731.81000000,1735.72000000,6050.64560000,2023-06-20 02:59:59.999,10497804.26993700,11122,2884.70270000,5004405.94990800,0
2023-06-20 03:00:00,1735.73000000,1737.35000000,1730.00000000,1730.74000000,7970.57950000,2023-06-20 03:59:59.999,13818012.01532400,8918,3121.07150000,5411675.90430300,0
2023-06-20 04:00:00,1730.75000000,1733.19000000,1728.81000000,1731.42000000,4789.07230000,2023-06-20 04:59:59.999,8290149.76755400,7884,2752.94940000,4765477.09018800,0
2023-06-20 05:00:00,1731.43000000,1734.63000000,1727.87000000,1728.53000000,6817.88310000,2023-06-20 05:59:59.999,11801003.18290200,11273,3350.22730000,5799089.55320100,0
2023-06-20 06:00:00,1728.54000000,1730.13000000,1723.66000000,1728.90000000,8650.88450000,2023-06-20 06:59:59.999,14948364.93100600,12218,4531.04830000,7829537.87684600,0
2023-06-20 07:00:00,1728.90000000,1730.29000000,1727.55000000,1729.99000000,2924.20420000,2023-06-20 07:59:59.999,5058062.64232000,9255,1562.47900000,2702656.58488900,0
2023-06-20 08:00:00,1729.98000000,1729.99000000,1724.12000000,1725.58000000,7044.98110000,2023-06-20 08:59:59.999,12162158.41758500,9576,2510.59280000,4334247.87031300,0
2023-06-20 09:00:00,1725.57000000,1731.44000000,1724.10000000,1728.77000000,6593.16520000,2023-06-20 09:59:59.999,11393285.42446600,10297,2785.86760000,4814718.60750100,0
2023-06-20 10:00:00,1728.78000000,1733.00000000,1727.71000000,1730.09000000,4456.56870000,2023-06-20 10:59:59.999,7710445.51593800,9840,2243.96840000,3882117.91571400,0
2023-06-20 11:00:00,1730.09000000,1734.59000000,1727.91000000,1734.39000000,4879.92590000,2023-06-20 11:59:59.999,8445618.78620800,9378,2333.81580000,4040093.89932200,0
2023-06-20 12:00:00,1734.39000000,1738.49000000,1730.51000000,1731.66000000,7322.66300000,2023-06-20 12:59:59.999,12695307.53428800,12762,3367.36220000,5837693.08395900,0
2023-06-20 13:00:00,1731.65000000,1733.08000000,1720.77000000,1723.45000000,8307.81240000,2023-06-20 13:59:59.999,14362320.91335200,15122,3943.58150000,6817810.56487700,0
2023-06-20 14:00:00,1723.44000000,1725.08000000,1714.72000000,1720.24000000,12968.88460000,2023-06-20 14:59:59.999,22305455.70665300,20201,5818.38590000,10006686.03859200,0
2023-06-20 15:00:00,1720.23000000,1736.14000000,1718.30000000,1732.48000000,10862.54070000,2023-06-20 15:59:59.999,18760189.65870800,17957,5969.25640000,10309123.54420800,0
